n,bits,sha256_bigendian
69000000,64947660,8e7be281a00c01794a9b9c77b758218bf7b08875fe530f772c689879ddcbca99
69250000,65182709,c2339e3797220f10b8838b7ba92736d7d5f53b0030491c71bd108ef7ea15dda5
69500000,65418479,4cb9b2db18d317344f44f0d69474a30aa9f47bb5ade8cd4aa47ea4d247808585
69750000,65653791,55e59692147382c2a8bdb3966999187dd76bc429736fd33bac652e0eaf5d6afd
70000000,65889278,00d5926d43f23cb11efeaf97409811ed8631732ca6766f0b49a91bac991bacc4
70250000,66124362,cf1381a612374bc48ea64fe6486971386efb4600e59d261ac42f6cd85549d545
70500000,66359476,5bbd47c0e85ca57e84c56536665d9ea9ab8960849abb22eeb3792bbe30a3464c
70750000,66594793,1817a31555328068d2feec841eadbccdbd2a0a1cf3d8e1c6cad0b248a3bfb4b1
71000000,66830091,52d94a5da0348acf3c0dd43b12b7f1697496c816d8dd41f5dee430645c6866ba
71250000,67065422,0cc8062a21ac8df9c3b83392ea6a3652ac25f619f9d12b60740ff56a1c7ee914
71500000,67300473,06f271cd5567cc26b3fb743b9393b50d91da49e1280938f67288e2b2a9ff1cd6
71750000,67536047,d1c41757de32af9632dcb00436662d2bad5a7120f20315bdbaa1b2a7bd0b8291
72000000,67771469,57252cacf05bbe36554eb8d54365c086dc5403c8b9713dbdfabe664cfcf90c71
72250000,68006848,1b9920ef4d35dee808c3657e97f70ea4ccc30e46a29566f4f5f33ca375a418d8
72500000,68242226,bc054ff0b4899b7f2c1854c91f36fbc0f9815d5afd4b5b9a9678dc7f29422400
72750000,68477726,93b9ea410686b2a4c32f0069f4fef3645fee4c9a8a4525190e7550338a1a6bf8
73000000,68713046,852f32feb2ef5440e8391c867510be9d410bfed3cfe7ac94ed0082f280bb185d
73250000,68948409,7c5a45cf4830f8d278e1f047a90a7a1f14c82cc72d4936532dd16445646c7578
73500000,69183352,7fbb167542c92f76f1d8b4d1de7a6b10ada2af5dfca65a876129847690acd1be
73750000,69418710,6dd6aa06d4d373101d138807079ec5a8c93ad4c4b56a88b67a942788ae26a5f4
74000000,69654014,d7ddaf2b4bcac450b49702831facc6f5b7d8d55a416198115bd07828588b8d76
74250000,69889152,36bdc606e439346e9f68984c81441aa924bbbe7b25b0af8c521f47349fe52456
74500000,70124223,5112d9326a775cf3aa74e17ea53487724696dd4101318879199fa02a51ec72be
74750000,70359655,ef599c56b7e3f1c51aae8321302058add1c6c6ac50e2f5b801112a19fcf70ba9
75000000,70595341,dd32da085fc376e36c40aca3d1770079ca3c5b5353b46a2955dc26f6cec85f2f
75250000,70830515,26f53aa0278070fdf2b104139236cdccd82c14fbe35254ace19bce3a810edcdc
75500000,71065717,3a2804be4d54bb848f55d0d8ccee177f17c09597610c68c0a6d0668fbb554c74
75750000,71300993,c2d7d489d800c6210e91b22a6129185d77315bd525ddb0b11b76f99801cb39f4
76000000,71536198,3175fe4bfe9e4ff98b5f211284c4bf25bc82ac48f8e382de4017f0ebb9e93608
76250000,71771528,6d474272a62eadf648d49dfd9ec5feb493e8f1e6cdc2a72e6a7c165f558e8d31
76500000,72007075,f9714ae1391856118a53a225429852fb3c2c243e240c4aa4f0e687c0fef16886
76750000,72242311,561495f1028d11110b84c740507beda5a8b2e410511fb71e62331495dc2f5553
77000000,72477864,36990cc0c29f9f5e8f7d725d742ee8c5129e7a2a58522a6bec2e3473d530164d
77250000,72713163,821b753d2fc716940c819b37712bfd58e583cb4a092c1a04162c2350a9d50647
77500000,72948403,d1f93292a34964f774a9c1c8ca6bab2eb32b8255e196a0e8496c7640fd22be2f
77750000,73183753,5b224e7eda82be49b3f7a067624c905c3ece98ac6e398403588832a23e3b90a2
78000000,73419205,e706e07b333bf236a9082299c5a2ab3d04f91bf9056f0b63a228580b70733f66
78250000,73654509,124e39f2c4c568b7b8a74b4f08b72621c2d0244a1a0c99dcf16fee87df89cded
78500000,73890117,ed860025e609088133672979ffa6f4f5acf03196237a6ee4b40686f16c2f4c5a
78750000,74125715,ba0cb57a68578f39f690ca78c5ed06c208f96ca671e7c91e11a8741961ed881c
79000000,74360665,35782fdcfff811b3d77984893d0aa85b2433bcfbc2b0209c4617212772267c1b
79250000,74595733,1c821a0a551a93b54b5d5cc495be553a85077699485fe8008cc2f12b9296e227
79500000,74831018,1faaaef7a6c65e9762c7568778146b42b7e0e390efa90c932040ec9a63b1aa9f
79750000,75066324,f0cda25d0a6b215e91a49f76e161c12bfbde5aab5c94bd50049205247a445aa5
80000000,75301508,6e58ac605a6347501224d25b0fb62f30468ca82ee5ed5a4a02b06dc57a49685c
80250000,75536782,87488c14b2db3948543ca61653121c9a5c54448d04ca2c76afbd29d8b564d0ac
80500000,75772291,8ecb63786e69acad90e9d0ef1fb8a7ff67c8db43415c448361653a91adfdc205
80750000,76007830,13eb1b3410b1bf5f96b94f4affbb9cd3fe67759f7d58e9cf277d706b75bb5e45
81000000,76243403,77510dd0990d469d5fd9fab43a3e8ed6ed24ad6e1fd999d60676677a358035c0
81250000,76478728,18e51f5b9e1ebd4688189db90bc1406ca87759a36b34905beaf45bb3aedd4740
81500000,76714145,7fdf933ee3204767ecede8e470e884568f36b566aa1f7dfaa7b8ee01ffe13a02
81750000,76949289,db2ffce71ccadeda36df8e328dd6a85dda036eb909d7a9958d1a039f694cfc45
82000000,77184121,3665f6de1f784c37e95bcb0dc80625164b069027b4e947b5597119826050e85f
82250000,77419289,fc8383d95c1e034720968f5da7986af52f16ac7c1f38ca9198bfbb72304bce81
82500000,77654659,3e9fcdc4a5eb06c934bb6654c525c4b30efdde783e2426a94833fb8316e8046c
82750000,77889787,2314f04f422d84974d83986e80310b9cd114b6f616475afeb5ec8dbaf63ee60e
83000000,78125126,903294f04b8b78242b8b13b3fc8424cb9f67848e79fb4f3792e7f489f2f0f7f7
83250000,78360487,b542694169f81eb834513d7065b559c2cb74acb6eb81a01e5fef841fe47b8b65
83500000,78595738,9a253d6edd4cc9a1632ae9c2f02da1e3215f82da7ace63afcf698446a6dff188
83750000,78831125,b6457ca773cea239bc5d1313dd639b83e4767c06bd53a894c6b39ad862a53b8a
84000000,79066290,f613f123bd9bf8fbcb12da0c9279b5dca593fdfcb83ab1a094cd9667bb1de2ef
84250000,79301910,53cdf29f1fc569c975a10e38a0bb4c45b8ce40fb8134b95219daa5cd040a1314
84500000,79537184,f2c97a5d6dd904f9fafde23c7155ae604557a3e5642bfed8dd87c4095845480c
84750000,79772358,ff11000949949d6ffeee4d8e83b2a3f7a01f15b18166c4c36806c81aa46048ee
85000000,80007948,b1749714d40d93b45638fe6b8876f82166865b7d24c84a4e0997917802dc48d5
85250000,80242822,d60b6fb731bd21e42b25ef6dd99e279166a9781c3b1f1573de210d4367b47405
85500000,80478274,564ab7685d25b14b580d54c6c9417384d331f79d615f17e015706b2a8c5ae0e7
85750000,80713273,73d0c59e668ac1fb842b55f29329257e203110d5c4982de9ec84a00423359d1e
86000000,80948458,ddb41ca69f9a101d677ada2edab095a391bdfa4e6d9a70a4a911a4088047c0de
86250000,81183946,953bd46013b27af82401543d1668214243aa4d2e3d7c6b62f730383b48feb642
86500000,81419351,18fe8ee3ac8c4f5380b30c395a5963e37bdccebc3b6a7f3acea340a74eafbe27
86750000,81654908,9e4d6c444dfea9a8b780e51de3e23a4d0ad62ebace051ddbea97cfc8174582a7
87000000,81890154,1147c128acfc02bca467fdf42af37a0552e5d16bf3fe4a9c0219bbcf014b1784
87250000,82125507,5cd66260e9abcb9b9c41bae38df6e197f99362a4345f8aeeee9ed078a4849a19
87500000,82360629,793dc0e7e90cd393d3760a3e8e245980dd93e8b0eb4ca2d4fa377758cd472247
87750000,82595920,dfd48e302f39c7e73961ad817cd72065268351c3be0c940d59717818e8293e52
88000000,82831565,41d89b640b75ce84bda6801a34a32f8c07d4e3b28256acf06febeb02be0adab2
88250000,83066711,63a1eb23931e5b14406102384dcffa09e8f7efbc6f1ba8e6e1aca0c7fb605235
88500000,83302022,6db3e7644b4737e945dbc42038744792c6ee0563ea3697bbdfc1c185d019ef26
88750000,83537170,7ffda22fee1882b3d7f2925b0cfedfffa8c30f34330d573b3ab8da88289725fa
89000000,83772647,7bdac5d26f540fdcbd8d42993844ac7dae2c0514225ef90006487adf76854f8f
89250000,84007859,41aba782b3745c2ff9f3654b52c5315f42dac16460689ba8f8661c44b3faa67a
89500000,84243538,e3f6c8409e205a74492c9b234732dd61219318e167621e295d91cbe6ba3cf683
89750000,84478361,befc0f05e400f9dbf386f94cee5a8099f7d4cfe3fde15ee9f36a71b966be7483
90000000,84713633,11c87a95a7ef97307a007e60da1d36155a829070bcf1620ba77cd78fedf05999
90250000,84949207,5b699a5c98efdc4c6cde8ab599f169ed158b0d6413dc164c6e9b335723374f26
90500000,85184706,d8af5d7c971de3243489d8ad168becb9d1e87dd653e3dbe15a15b7744718c81c
90750000,85419559,0b601029bd59fb70e5a1ccec69c6d6d494d714b697582e5a08c6d47739dd1fb8
91000000,85655052,0588a5b6e0f8a0799dbcedba2fd7b100de54c3067b324e9bf3e48c1713a007fb
91250000,85890717,9782f280736eff67700997cf5448b330827ea066890e0d83f75616f05ffea925
91500000,86126027,d2c8fa9ac54437b3267d0f1c1681a17103a00cf1ab082f4ae9c97aa704c98933
91750000,86361316,015dade6d95a1e78f9e73aa36e239f8ed54f5638f58523e053c3b9e82522917e
92000000,86596145,2adcee6e1e609e9406dc1257d6157ade9617a2516977e60b9bb1c8215a3b49d9
92250000,86831057,64c8bb6e78c6af7616cfeec4cec1beb6637b0b6740d7433d645dc8e0abc19c1b
92500000,87066648,8144b9edd68d3fb1db695704ba31c7ef0676c8c07b69c1f8e6930c01f0db4d1c
92750000,87301674,58d5ffecca954bf21bc00f8bd0ea6a92b35932273e3a3aeda45772132891015a
93000000,87537204,494bd291368c4148ffdf162414a25c3596970f1f6dd53c1418041758ed9c6ab0
93250000,87772745,7edfd8dfd84885e9e5e17bd4daef6c94f036fb038746571e1ac63e4315c340dd
93500000,88007759,1f72eb8c5ae448456f7e58ee7ee0774927b0428d6324f759a88bd426754f6ca0
93750000,88243070,531ec3bac5c4524459b13decbb7d17530c9f5c0dcd5e1f8ea323bfb1eda590bc
94000000,88478109,407ea7252b511b36e7cf2b57daa4e07720be71581ab99047833f31ecf56d0ee9
94250000,88713390,d8de0008b83de6cbec120adad7333a157d7cd40c381093ba8a54d325803faaf6
94500000,88948725,be563410dcca38729baac0f1fb150dd86752e3d9b8907b09aea88b20bccdfa89
94750000,89184041,bdead6e957299d6afe4943439245c4bcca5e3f0151df3b5c63473fda212f6d43
95000000,89419646,a1c7b87d0c1ca7ea943b57a648059fa6782d7315403a3252f2f602dc0345e027
95250000,89654969,63cc0c220700b71a406d94fbce9fb373ce9dc58f5acd74628367328ab0c72e59
95500000,89890333,05798a9ee56b8bbdf1bf320e11add89c3b03d531c134039e57a70126cf911143
95750000,90125734,a240883e344724deab22e1dbb7eb79b893937040dfd6d82379fde77370c881f2
96000000,90361207,d88dff716a007b55cd7e5f769e818a3f2f5b24f0a214db649d868242747ddd31
96250000,90596684,b8c63ae7b780db1648b0ee5c6e52034194931dcd5c2de350a9bb6cc87fd3100a
96500000,90831744,70647f43014bc229a2ab8049f7fa8343b6d7e862b8d87ec48e4fd774c850315a
96750000,91067187,d59b076d583de6db0bb001788fadde31702cbb934c8d24eb8e8c434c7afb0e4e
97000000,91302689,067c318dc5d1c9b44d3d014258d070784800b2a697d21065fce1ce8d8ebd5db2
97250000,91537686,05c82e7a0a761acd84f6664f64db86abbff42f9f68a97e5552b460f1512f8491
97500000,91772716,bc312377270fa8d40e558cfc0c0521672f721c0b5a694512c4f8f8b3523a868e
97750000,92008031,9850519f4febc4e78c96294626e7c4727433d5168856330fd468aaf333e7ac0d
98000000,92242892,21038529a3d40d6f1c3df56c6fa3f63c158b3c8d053b9168ab9bf9b2442d1bfd
98250000,92478155,58c6f284a19407a1f01d7c8527afa7541676bfd9a82c85bc376f376a9488350b
98500000,92713471,96abbef9fcde5f8ceaa499960b857fa209a6667d843027a484cfed112d28b85d
98750000,92948849,c318e5808434f6152fcd5079efb29601a40f7d579e6918fea210ebafe85e0d94
99000000,93184252,939c5b36e60164ba3ea0a7a24e4a02c878676ac7f477e71dd11053b8cdbe9942
99250000,93419144,a69827f089d04c85c69164d834d011f805944b3485a284ba1b000365b4347ae9
99500000,93654351,3022a210c34b5b8393368e2edd65f2df0b9f87564b61df75bdf34504f12a9f4f
99750000,93889795,07ab950c48a5c0d74bc9ee068c0c42df1fe863f72cdcf1adce65aabef7657147
100000000,94125050,627e09c5bb1fbf93fe18ed3f2a2feaff45a16f139282364e07831337766acce1
